year,month,day,week_day,requests
2016,9,12,0,5115877
2016,9,13,1,4991038
2016,9,14,2,5104383
2016,9,15,3,5004820
2016,9,16,4,5303505
2016,9,17,5,4702314
2016,9,18,6,3732533
2016,9,19,0,4940075
2016,9,20,1,4747460
2016,9,21,2,5299230
2016,9,22,3,4916085
2016,9,23,4,5180628
2016,9,24,5,4869449
2016,9,25,6,4079789
2016,9,26,0,4936659
2016,9,27,1,4735257
2016,9,28,2,5035005
2016,9,29,3,5164245
2016,9,30,4,5350183
2016,10,1,5,4758987
2016,10,2,6,3849745
2016,10,3,0,5002612
2016,10,4,1,5025850
2016,10,5,2,5079978
2016,10,6,3,5107527
2016,10,7,4,5403437
2016,10,8,5,4998466
2016,10,9,6,4047637
2016,10,10,0,5143292
2016,10,11,1,4974898
2016,10,12,2,5053273
2016,10,13,3,5015447
2016,10,14,4,5340216
2016,10,15,5,4850681
2016,10,16,6,4052364
2016,10,17,0,4958518
2016,10,18,1,4862272
2016,10,19,2,4917676
2016,10,20,3,4866272
2016,10,21,4,5162080
2016,10,22,5,4662578
2016,10,23,6,3483727
2016,10,24,0,4703796
2016,10,25,1,4634632
2016,10,26,2,4800961
2016,10,27,3,4824013
2016,10,28,4,5179165
2016,10,29,5,4741056
2016,10,30,6,3867592
2016,10,31,0,4837143
2016,11,1,1,4274466
2016,11,2,2,4677539
2016,11,3,3,4897796
2016,11,4,4,5306501
2016,11,5,5,4291214
2016,11,6,6,3256576
2016,11,7,0,4573940
2016,11,8,1,4551612
2016,11,9,2,5141625
2016,11,10,3,4517994
2016,11,11,4,4755427
2016,11,12,5,4209703
2016,11,13,6,3156363
2016,11,14,0,4417428
2016,11,15,1,4300483
2016,11,16,2,5560663
2016,11,17,3,4427714
2016,11,18,4,4696113
2016,11,19,5,4115909
2016,11,20,6,3281213
2016,11,21,0,4423239
2016,11,22,1,4237801
2016,11,23,2,4420642
2016,11,24,3,4412976
2016,11,25,4,5064451
2016,11,26,5,4609803
2016,11,27,6,3592837
2016,11,28,0,4603410
2016,11,29,1,4312252
2016,11,30,2,4431578
2016,12,1,3,4483163
2016,12,2,4,4832832
2016,12,3,5,4371767
2016,12,4,6,3366256
2016,12,5,0,4498540
2016,12,6,1,4364827
2016,12,7,2,4576991
2016,12,8,3,4477477
2016,12,9,4,4977782
2016,12,10,5,4594280
2016,12,11,6,3566150
2016,12,12,0,4509284
2016,12,13,1,4455298
2016,12,14,2,4522394
2016,12,15,3,4547821
2016,12,16,4,4937662
2016,12,17,5,4617764
2016,12,18,6,3503219
2016,12,19,0,4588638
2016,12,20,1,4481572
2016,12,21,2,4717530
2016,12,22,3,4949519
2016,12,23,4,5514634
2016,12,24,5,4454578
2016,12,25,6,3396702
2016,12,26,0,3715490
2016,12,27,1,4462890
2016,12,28,2,4501691
2016,12,29,3,4411935
2016,12,30,4,4530054
2016,12,31,5,4068934
2017,1,1,6,3797649
2017,1,2,0,3900528
2017,1,3,1,4166776
2017,1,4,2,4124645
2017,1,5,3,4077289
2017,1,6,4,4087585
2017,1,7,5,3876816
2017,1,8,6,3035321
2017,1,9,0,4152773
2017,1,10,1,3963897
2017,1,11,2,4093354
2017,1,12,3,4037229
2017,1,13,4,4304708
2017,1,14,5,3794664
2017,1,15,6,2987385
2017,1,16,0,4072170
2017,1,17,1,3932136
2017,1,18,2,4022323
2017,1,19,3,3945878
2017,1,20,4,4211077
2017,1,21,5,3885858
2017,1,22,6,3052829
2017,1,23,0,4002419
2017,1,24,1,3896316
2017,1,25,2,4123913
2017,1,26,3,4083847
2017,1,27,4,4469740
2017,1,28,5,4105118
2017,1,29,6,3245485
2017,1,30,0,4251509
2017,1,31,1,4149248
2017,2,1,2,4198004
2017,2,2,3,4161503
2017,2,3,4,4457775
2017,2,4,5,3907441
2017,2,5,6,3045803
2017,2,6,0,4233345
2017,2,7,1,4091400
2017,2,8,2,4130672
2017,2,9,3,4136972
2017,2,10,4,4455661
2017,2,11,5,4061829
2017,2,12,6,3290585
2017,2,13,0,4256071
2017,2,14,1,4233364
2017,2,15,2,4259150
2017,2,16,3,4207650
2017,2,17,4,4323336
2017,2,18,5,4064355
2017,2,19,6,3325642
2017,2,20,0,4226082
2017,2,21,1,4077990
2017,2,22,2,4245122
2017,2,23,3,4299922
2017,2,24,4,4617067
2017,2,25,5,4261971
2017,2,26,6,3346728
2017,2,27,0,4381716
2017,2,28,1,4263519
2017,3,1,2,4491781
2017,3,2,3,4356743
2017,3,3,4,4641170
2017,3,4,5,4163866
2017,3,5,6,3296335
