year,month,day,week_day,hour,requests
2015,4,8,2,10,86474
2015,4,8,2,11,78851
2015,4,8,2,12,35994
2015,4,8,2,13,59380
2015,4,8,2,14,68416
2015,4,8,2,15,64397
2015,4,8,2,16,65306
2015,4,8,2,17,52188
2015,4,8,2,18,40775
2015,4,8,2,19,33875
2015,4,8,2,20,75466
2015,4,8,2,21,14828
2015,4,8,2,22,7888
2015,4,8,2,23,4472
2015,4,9,3,0,3605
2015,4,9,3,1,2727
2015,4,9,3,2,2889
2015,4,9,3,3,2800
2015,4,9,3,4,2748
2015,4,9,3,5,2735
2015,4,9,3,6,3712
2015,4,9,3,7,18641
2015,4,9,3,8,57162
2015,4,9,3,9,78723
2015,4,9,3,10,83333
2015,4,9,3,11,77546
2015,4,9,3,12,35133
2015,4,9,3,13,57314
2015,4,9,3,14,66998
2015,4,9,3,15,63708
2015,4,9,3,16,63044
2015,4,9,3,17,50183
2015,4,9,3,18,38966
2015,4,9,3,19,33071
2015,4,9,3,20,27845
2015,4,9,3,21,14858
2015,4,9,3,22,8225
2015,4,9,3,23,4689
2015,4,10,4,0,3904
2015,4,10,4,1,3273
2015,4,10,4,2,3094
2015,4,10,4,3,2963
2015,4,10,4,4,2983
2015,4,10,4,5,2447
2015,4,10,4,6,3655
2015,4,10,4,7,17423
2015,4,10,4,8,55274
2015,4,10,4,9,74534
2015,4,10,4,10,80111
2015,4,10,4,11,73893
2015,4,10,4,12,37819
2015,4,10,4,13,56990
2015,4,10,4,14,64499
2015,4,10,4,15,59041
2015,4,10,4,16,54003
2015,4,10,4,17,42794
2015,4,10,4,18,34959
2015,4,10,4,19,29494
2015,4,10,4,20,24176
2015,4,10,4,21,12931
2015,4,10,4,22,7807
2015,4,10,4,23,4708
2015,4,11,5,0,4154
2015,4,11,5,1,3354
2015,4,11,5,2,3067
2015,4,11,5,3,2862
2015,4,11,5,4,2535
2015,4,11,5,5,2119
2015,4,11,5,6,1897
2015,4,11,5,7,5577
2015,4,11,5,8,16081
2015,4,11,5,9,28233
2015,4,11,5,10,33290
2015,4,11,5,11,32039
2015,4,11,5,12,24468
2015,4,11,5,13,24739
2015,4,11,5,14,23301
2015,4,11,5,15,22085
2015,4,11,5,16,23651
2015,4,11,5,17,24589
2015,4,11,5,18,23268
2015,4,11,5,19,21523
2015,4,11,5,20,24947
2015,4,11,5,21,55259
2015,4,11,5,22,25841
2015,4,11,5,23,4889
2015,4,12,6,0,4266
2015,4,12,6,1,3440
2015,4,12,6,2,3362
2015,4,12,6,3,3336
2015,4,12,6,4,2753
2015,4,12,6,5,2110
2015,4,12,6,6,1631
2015,4,12,6,7,3228
2015,4,12,6,8,9194
2015,4,12,6,9,18954
2015,4,12,6,10,25234
2015,4,12,6,11,23932
2015,4,12,6,12,18237
2015,4,12,6,13,16143
2015,4,12,6,14,14133
2015,4,12,6,15,14038
2015,4,12,6,16,16009
2015,4,12,6,17,20103
2015,4,12,6,18,24246
2015,4,12,6,19,26566
2015,4,12,6,20,26272
2015,4,12,6,21,14185
2015,4,12,6,22,7374
2015,4,12,6,23,4499
2015,4,13,0,0,3516
2015,4,13,0,1,2885
2015,4,13,0,2,2870
2015,4,13,0,3,2802
2015,4,13,0,4,2827
2015,4,13,0,5,2540
2015,4,13,0,6,3967
2015,4,13,0,7,19394
2015,4,13,0,8,66886
2015,4,13,0,9,89231
2015,4,13,0,10,91838
2015,4,13,0,11,83616
2015,4,13,0,12,37307
2015,4,13,0,13,61952
2015,4,13,0,14,71322
2015,4,13,0,15,67646
2015,4,13,0,16,65981
2015,4,13,0,17,51338
2015,4,13,0,18,37366
2015,4,13,0,19,33855
2015,4,13,0,20,48515
